"Campaign","Ad group","Keyword","Match type","Max CPC"
"ホームページ制作","一般キーワード","ホームページ制作","EXACT","150"
"ホームページ制作","一般キーワード","web制作","EXACT","150"
"ホームページ制作","一般キーワード","ウェブサイト制作","EXACT","150"
"ホームページ制作","一般キーワード","ホームページ制作 東京","PHRASE","180"
"ホームページ制作","一般キーワード","ホームページ制作 費用","PHRASE","160"
"ホームページ制作","一般キーワード","ホームページ制作 安い","PHRASE","170"
"ホームページ制作","一般キーワード","ホームページ制作 中小企業","PHRASE","180"
"ホームページ制作","一般キーワード","web制作 料金","PHRASE","160"
"ホームページ制作","一般キーワード","ホームページ制作 相場","PHRASE","150"
"ホームページ制作","一般キーワード","ホームページ制作 会社","PHRASE","160"
"ホームページ制作","地域キーワード","東大和市 ホームページ制作","PHRASE","200"
"ホームページ制作","地域キーワード","東大和 web制作","PHRASE","200"
"ホームページ制作","地域キーワード","多摩地域 ホームページ制作","PHRASE","180"
"ホームページ制作","地域キーワード","東京都 ホームページ制作","PHRASE","170"
"ホームページ制作","地域キーワード","西東京 web制作","PHRASE","180"
"ホームページ制作","地域キーワード","立川 ホームページ制作","PHRASE","190"
"ホームページ制作","地域キーワード","武蔵村山 ホームページ制作","PHRASE","200"
"ホームページ制作","地域キーワード","小平 ホームページ制作","PHRASE","190"
"ホームページ制作","価格キーワード","ホームページ制作 10万円","PHRASE","180"
"ホームページ制作","価格キーワード","ホームページ制作 15万円","PHRASE","180"
"ホームページ制作","価格キーワード","ホームページ制作 安い おすすめ","PHRASE","170"
"ホームページ制作","価格キーワード","web制作 格安 品質","PHRASE","170"
"ホームページ制作","価格キーワード","ホームページ制作 適正価格","PHRASE","160"
"ホームページ制作","価格キーワード","ホームページ 初期費用","PHRASE","150"
"ホームページ制作","価格キーワード","サイト制作 見積もり","PHRASE","160"
"ホームページ制作","価格キーワード","ホームページ制作 コスパ","PHRASE","170"
"AIチャットボット","開発・導入","AIチャットボット","EXACT","250"
"AIチャットボット","開発・導入","チャットボット 開発","EXACT","250"
"AIチャットボット","開発・導入","AIチャットボット 開発","PHRASE","260"
"AIチャットボット","開発・導入","チャットボット 導入","PHRASE","240"
"AIチャットボット","開発・導入","AIチャットボット 費用","PHRASE","230"
"AIチャットボット","開発・導入","AI 顧客対応","PHRASE","240"
"AIチャットボット","開発・導入","チャットボット 価格","PHRASE","220"
"AIチャットボット","開発・導入","AIチャット 自動化","PHRASE","250"
"AIチャットボット","開発・導入","チャットボット LINE","PHRASE","240"
"AIチャットボット","開発・導入","AI カスタマーサポート","PHRASE","260"
"AIチャットボット","自動化・効率化","顧客対応 自動化","PHRASE","240"
"AIチャットボット","自動化・効率化","業務効率化 AI","PHRASE","230"
"AIチャットボット","自動化・効率化","カスタマーサポート 効率化","PHRASE","220"
"AIチャットボット","自動化・効率化","問い合わせ対応 AI","PHRASE","230"
"AIチャットボット","自動化・効率化","24時間対応 AI","PHRASE","240"
"AIチャットボット","自動化・効率化","人件費削減 AI","PHRASE","250"
"AIチャットボット","自動化・効率化","業務自動化 チャットボット","PHRASE","240"
"AIチャットボット","自動化・効率化","FAQ 自動化","PHRASE","220"
"Amazon販売代行","代理店・代行","Amazon 代理店","EXACT","200"
"Amazon販売代行","代理店・代行","Amazon 販売代行","EXACT","200"
"Amazon販売代行","代理店・代行","アマゾン 代行","EXACT","190"
"Amazon販売代行","代理店・代行","EC 販売代行","EXACT","200"
"Amazon販売代行","代理店・代行","Amazon 出品代行","PHRASE","210"
"Amazon販売代行","代理店・代行","Amazon 運営代行","PHRASE","210"
"Amazon販売代行","代理店・代行","Amazon 販売代行 手数料","PHRASE","220"
"Amazon販売代行","代理店・代行","Amazon 代理店 費用","PHRASE","210"
"Amazon販売代行","代理店・代行","EC コンサル","PHRASE","200"
"Amazon販売代行","メーカー向け","メーカー Amazon 販売","PHRASE","250"
"Amazon販売代行","メーカー向け","卸売 Amazon 出品","PHRASE","240"
"Amazon販売代行","メーカー向け","Amazon 新規出品","PHRASE","220"
"Amazon販売代行","メーカー向け","Amazon 販路拡大","PHRASE","240"
"Amazon販売代行","メーカー向け","メーカー直送 Amazon","PHRASE","230"
"Amazon販売代行","メーカー向け","Amazon 販売 始め方","PHRASE","200"